index,class,tweet,clean_tweet
62,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",females think dating a pussy is cute now how does doing this stuff make him a pussy
63,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",simplyaddictedtoguys woof woof hot scally lad
64,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",have ya ever asked your bitch for other bitches kanye voice yes
65,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",how u gone bring ur side bitch to a game where you know ya gf friends at 128553 128553 128553 128553 i swear
66,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",woof woof and hot soles
67,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",lemmie eat a oreo amp do these dishes one oreo lol
68,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bitch fuck u maybe you ll get better just
69,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",fuck red malone man bitch ass niggah could you please use complete sentences
70,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",why the eggplant emoji doe y he say she looked like scream lmao
71,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",hennessey venom gt 128584 that s one sexy bitch
72,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao
73,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",hen314 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",yo fuck skateboarding all y all some wood pushing faggots man ball is life
75,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",baby monkey bathtime awwwwe this is soooo adorable
76,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",128514 128514 128514 128514 i ain t shit damn skippy lol
77,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt 30 chance
78,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",kudabrazyy 0 rings 0 mvps 0 bitches lol
79,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn
80,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",the facts on tattoos tattoo he s a pussy with not tattooing them nipples
81,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",128175 128175 128175 rt ayden bitches be wanting to act like niggas so bad 128553 128553 128553 that shit aint cuteeeee but niggas act like bitches
82,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",get worshiping bitch woof woof
83,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",wow rt i m lost are those buttcheek piercings yeah she s a hoe
84,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her
85,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",queer gaywad
87,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",faggot read my tweets after dat k it wasn t even funny lol
88,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",this bitch was so ungrateful fr lulwhore
89,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",i been kidnapped yo bitch
90,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",baby24 thunduh alsarabsss hes a beaner smh you can tell hes a mexican
91,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",happy birthday nigs thanks yo
92,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",when ur teacher tells u that u have homework this bitch need to go
93,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
94,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",what would y all lil ugly bald headed bitches do if they stop making make up amp weave
95,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
96,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",going back to school sucks more dick than the hoes who attend it
97,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",on my way to fuck yo bitch me as a 9 year old
98,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",thunduh how come you never bring me food i dont have a car retard
99,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople
100,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",how bout them cowboys shutup pussy
101,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",lmaooooooooooo this nigga nuh care lt bitch want likes for some depressing shit foh
102,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",cee aerii girl you know i was spitting that g shit to you amp you was going lbvs bitch plz
103,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",cee let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again
104,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",harlem shake is just an excuse to go full retard for 30 seconds
105,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",amen miley 128591 but she don t need to act like a hoe just bc she s emotionally damaged foh
106,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",having one loyal female is wayyyyy better than having hoes idc 128175
107,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",pussy licking pussy meow meow stopwhitepeople2014 128049 128533
108,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",holloway check out our 12th man cowboysnation even with all those faggot ny fans in the stands
109,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
110,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",thunduh im the bitch okay nudes pat 128554 128527 128056 wow
111,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",you re fucking gay blacklisted hoe holding out for tehgodclan anyway
112,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",the fuck be wrong with these bitches nobody knows
113,1,"""@Dietrich1892: Yall shut up:p"" make me bitch",yall shut up p make me bitch
114,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",i hate a i m pregnant type of bitch
115,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",q got bitches in the dm but i don t ever read em which is y your top 3
116,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",baseball season for the win yankees this is where the love started
117,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",little stupid as bitch i don t fuck with yoooooouuuu
118,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",she really asked me that dead ass serious tho all i could say was bitch wheet lol
119,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",i m an early bird and i m a night owl so i m wise and have worms
120,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day
121,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",grillo1 pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
122,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",ghost bravo aw fag don t tweet aw to me lol
123,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",as long as the lakers trash from now on i could careless and that s real cc hahaha
124,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",i didn t say anything tho kiss me then faggot
125,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",this the i play soccer cheat on girls and wear khaki coloured cargos haircut 128514 yup
126,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",i could go for a fat ass bitch on my lap same
127,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",17 missed calls 128544 128545 das yo p o bitch twitter finna be screamn freemoneymelle
128,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",al ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao 128514 128514 128514 128514
129,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",8220 3 amo los pies fuck yeah
130,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",these hoes be thinking meat won t slap they ass 128564 128075 ainna bruh
131,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",yall bitches wit no edges be doing the most talking 128553 128564 9995 128514 128514 128514
132,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit
133,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
134,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",jones94 if she kiss u with her eyes open watch that bitch lmfao
135,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",you a woulda coulda shoulda ass hoe 128563 128586
136,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",ltf happy bday bitch ass nigga preciate that bitch roll up
137,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",used to send that bitch up
138,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",ugly bitches be like i m my own wcw duh bitch you ain t nobody elses 128514 128514
139,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",bravo nigga you know we hacky sack hoes nah i throw no look passes lmao
141,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",glad i m getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
142,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",this isn t ghetto it s smart i m doing this idc
143,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place
144,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",being single isn t an excuse to be a hoe luu
145,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",white boy power bitch black power bitch
146,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",11 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
147,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",abrupt bitch where u been around the world and back where you been
148,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off 128514 128514 128514 128514 by
149,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",oomf is soooo cute but he probably has hoes on him a lot
150,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",in every cartoon theirs alway a nuffsaid15 saving these hoes lmao lmao damn captain saveahoe
151,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
152,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",i wish i was a bitch like my brother keezy 128530 ooooow i bet you do
153,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",if you dressed up as a cat for halloween you are basic or a pussy
154,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie lt 3
155,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",stop being scared to choke her during sex u bitch ass niggas she 8217 ll like it says the guy who hits women out of bed foh
156,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",thunduh ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
157,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",oh man its 5 am you off a molly ho where the fuck ya seed at fixed
158,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",you re not a man if you refer to every girl as a bitch
159,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
160,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash
161,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
162,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne
163,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",ol dirty foot ass bitches this was too funny to me
164,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",shawn 6 thunduh that s where i get my yellow flags for being amazing 128079 128524 hell yeah niggy
165,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",don t got time for bitches to be actin iffy
166,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
167,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",these hoes ain t loyal no they ain t smfh amp wonder why nobody decent wants them
168,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
169,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",dry pussy bitches always blame it on the condom 128514 128079 128514 128079 128514
170,1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",shut yo bitch ass up 128557 128514
171,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",gucci mane in jail and dropping mixtapes every month and you hoes can t even text back
172,1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",you love these hoes more then money wats wrong these niggas
173,1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
174,1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",easy cum easy hoe that s a fact
175,1,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",charlie sheen is too real major fucking respect for charlie sheen
176,1,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",wish i had a bae 128533 you got all the hoes tho
177,1,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",mike 12 fuck twerking bitch can you cook
178,1,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",bitch wtf
179,1,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",the great 8220 the great shut up zoe fight me pussy 8221 for zoe i m good man you are good ma am move along now
180,1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",lmao fucking snake bitches em
181,1,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",aizah big booty hoes everywhere sheesh 128525 damn 127807 128064 127807
182,2,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",stay tuned to for an update on the report that 1b will be out 8 10 weeks bum
183,2,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",rad 8220 i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao 04
184,1,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",oregon chokes every year get off the field trash ass program rft
185,1,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",def not cowboy lol rt terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
